"Parish","Holding","X","Y","Cattle","Sheep","Infection","Cull","Classification","Exposed","Removed","xytmodes","k10","k20","k26","k30"
173,98,345.2,530.9,92,0,0,0,0,0,0,11,10,4,1,27
40,31,327.3,550,153,162,0,0,1,0,0,7,6,3,2,3
30,70,323.8,541.7,74,349,74,81,0,69,78,14,4,18,11,18
163,150,344.6,524.6,63,455,0,0,1,0,0,11,10,8,22,6
173,239,344.8,538.4,148,268,0,0,1,0,0,10,5,20,24,16
72,11,340.4,551.1,153,0,0,0,1,0,0,23,9,2,26,23
167,24,339.3,537.8,792,6919,28,48,1,23,32,4,5,14,24,10
173,71,342.3,537.9,233,243,0,0,1,0,0,10,5,20,24,16
40,3,323.226,552.619,231,0,48,56,1,43,52,7,6,3,2,19
404,39,359.4,521.3,0,3,0,0,0,0,0,3,8,15,5,8
40,55,323.9,547.8,17,117,0,0,0,0,0,22,6,12,10,3
146,133,345,529.8,2,0,0,0,0,0,0,11,10,4,1,27
131,6,324.2,534.2,76,2684,0,0,1,0,0,2,4,19,15,13
163,162,340.7,522.7,0,405,0,0,1,0,0,9,10,8,22,28
152,19,344.4,547.6,2,2,0,0,0,0,0,8,9,13,17,23
40,10,324,550.8,468,0,0,0,1,0,0,7,6,3,2,19
159,123,358.5,546.4,0,175,0,0,0,0,0,3,7,16,16,14
173,138,340.5,540.8,250,0,59,67,1,54,63,4,5,10,18,9
30,5,325.7,543.7,47,0,0,0,0,0,0,7,6,18,10,5
68,57,335.6,547.9,226,0,0,0,1,0,0,1,3,7,23,30
138,129,355.129,547.799,0,32,0,0,0,0,0,3,7,17,13,26
152,167,346.5,548.3,427,0,78,88,1,73,82,8,9,13,3,4
159,49,354.7,541.4,114,252,0,0,1,0,0,3,2,16,16,14
153,21,358.3,533.8,28,0,0,0,0,0,0,20,2,5,20,24
68,87,336,547.1,113,0,45,53,1,40,49,4,3,7,23,30
68,237,339.8,545.5,267,0,52,59,1,47,56,4,9,10,18,30
152,156,342.9,542.4,225,374,47,56,1,42,51,4,9,20,17,9
38,158,331.7,549,250,467,58,66,1,53,62,1,3,7,6,25
138,17,356,549.1,148,79,0,0,1,0,0,5,7,17,13,26
72,2,340.7,548.4,582,0,0,0,1,0,0,23,9,2,26,23
37,131,331.3,550.3,177,0,0,0,1,0,0,1,3,7,6,25
152,14,343.8,547.2,264,0,43,53,1,38,47,8,9,13,17,23
38,188,327.7,541.5,255,2089,60,71,1,55,64,14,4,18,14,5
150,76,355.4,537.6,16,864,40,48,1,35,44,20,2,5,20,24
71,19,332.8,554.1,15,4,0,0,0,0,0,1,3,7,12,15
131,20,323,532.3,104,494,0,0,1,0,0,2,4,19,15,13
72,136,340.3,550.2,309,0,49,57,1,44,53,23,9,2,26,23
30,38,323.4,541.9,129,81,67,74,1,62,71,14,4,18,11,18
152,95,349.5,540.3,187,25,83,92,1,78,87,18,2,20,4,20
86,38,350.5,549.1,113,193,64,72,1,59,68,17,7,1,19,1
159,58,356.1,539.9,226,381,0,0,1,0,0,20,2,16,20,24
212,123,325.562,549.117,48,25,0,0,0,0,0,7,6,12,10,3
410,1,349.683,527.73,0,22,0,0,0,0,0,6,10,4,7,27
151,39,345.6,533,300,225,59,66,1,54,63,10,10,4,1,27
163,67,344.1,523.8,293,0,0,0,1,0,0,11,10,8,22,6
170,45,352.9,532.5,278,0,91,99,1,86,95,34,2,5,7,12
137,33,324.307,526.926,2,127,0,0,0,0,0,21,1,6,21,13
134,28,329.3,521.8,48,345,0,0,0,0,0,15,1,9,8,11
68,20,334.663,551.173,291,802,47,55,1,42,51,1,3,7,12,15
38,96,327.1,544,77,644,0,0,1,0,0,7,6,12,10,5
50,68,328.4,536.8,0,233,0,0,0,0,0,12,4,11,14,2
142,52,340.5,538.5,18,134,0,0,0,0,0,4,5,14,24,9
120,31,349.7,551,120,0,0,0,1,0,0,8,7,17,3,4
30,22,323,543.5,0,216,0,0,0,0,0,14,6,18,10,29
142,61,339.2,540.8,338,884,0,0,1,0,0,4,5,10,18,9
50,7005,334.1,538.5,0,192,0,0,0,0,0,12,5,11,14,10
212,31,326,548.7,0,142,0,0,0,0,0,7,6,12,10,3
28,60,328.8,552.1,62,0,0,0,0,0,0,7,6,3,2,17
134,21,329.8,521.7,145,779,0,0,1,0,0,15,1,9,8,11
36,7,333.2,540.9,8,29,0,0,0,0,0,12,5,11,14,10
38,81,327.2,546.9,0,5,0,0,0,0,0,22,6,12,6,3
134,24,330.8,524.3,55,1184,0,0,1,0,0,15,1,9,8,11
30,17,323.2,544.7,118,340,0,0,1,0,0,7,6,12,10,29
38,207,326.7,543.2,0,31,0,0,0,0,0,7,6,18,10,5
170,179,354.3,530.7,0,45,0,0,0,0,0,20,2,5,7,12
134,6,328.437,522.046,81,1791,0,0,1,0,0,15,1,9,8,11
389,33,346.3,523.1,0,1032,0,0,1,0,0,11,10,8,9,6
30,26,322.9,541.7,243,2151,0,0,1,0,0,14,4,18,11,18
131,37,323.184,532.381,186,1382,0,0,1,0,0,2,4,19,15,13
212,141,324.6,547.4,0,42,0,0,0,0,0,22,6,12,10,3
68,23,334,549.4,155,0,74,81,1,69,78,1,3,7,12,25
38,102,331.1,547.8,74,464,0,0,1,0,0,1,3,7,6,25
161,28,354,541,232,5051,39,49,1,34,43,3,2,16,16,14
157,81,343.2,527.6,0,89,0,0,0,0,0,11,10,8,22,28
50,45,333.2,539.8,0,285,0,0,0,0,0,12,5,11,14,10
30,7,326.4,543.5,232,269,55,63,1,50,59,14,6,18,10,5
30,50,325.3,539.3,58,712,0,0,1,0,0,1,4,18,11,21
152,127,350.9,547.6,85,349,0,0,0,0,0,17,7,1,19,1
38,108,331.7,547.4,315,627,0,0,1,0,0,1,3,7,6,25
38,88,330,544.1,581,3525,0,0,1,0,0,12,3,11,6,7
119,6,354.8,550.8,126,1569,0,0,1,0,0,17,7,17,13,26
169,28,359.9,536.1,49,1274,37,49,1,32,41,20,2,5,20,24
173,102,343.6,535.8,229,720,50,59,1,45,54,10,5,14,24,16
211,8,335.9,554.1,103,0,55,63,1,50,59,1,3,2,12,15
30,131,323.4,541.7,96,0,0,0,0,0,0,14,4,18,11,18
28,27,325.478,553.219,194,289,38,52,1,33,42,7,6,3,2,17
37,121,331.3,550.2,35,22,0,0,0,0,0,1,3,7,6,25
68,8,339.2,548.6,204,0,25,54,1,20,29,23,9,2,26,23
410,4,350.2,526.9,300,312,23,32,1,18,27,6,8,4,9,6
167,2,336.4,530.7,143,1698,0,0,1,0,0,24,5,14,25,22
38,45,331.4,549.2,166,0,0,0,1,0,0,1,3,7,6,25
